powerd_log_ver: 0.2
Format: 3
DATE: 2014-08-25 14:37:26 +0000
COMMENT: 
DESKTOP: sugar
ECVER: Ver:1.2.1
OFWVER: CL1   Q2F19  Q2F
KERNVER: Linux version 3.3.8_xo1-20120705.1732.olpc.5d48a2f (kernels@bob.laptop.org) (gcc version 4.7.0 20120507 (Red Hat 4.7.0-5) (GCC) ) #1 PREEMPT Thu Jul 5 17:34:54 EDT 2012
KERNAPI: 2
POWERDVER: version 103
MODEL: C2
SERNUM: CSN74901610
BATTECH: LiFe
BATMFG: BYD
BATSER: 35fc3337000000d6
BUILD: 12.1.0 for XO-1 (build 21)
CHGCNT:  14 0f
CHGSOC:  45
DISCNT:  00 41
DISSOC:  29
XOVER: 1
<StartData>
1408977447,15,6742330,1134765,3410,11026130,Charging,startup
1408977457,15,6745380,1122135,3423,11029464,Charging,ac-online-event
1408977458,15,6743550,1130468,3426,11029880,Charging,battery-event
1408977567,16,6803330,1280729,3564,11067380,Charging,battery-event
1408977658,17,6828950,1328906,3612,11099464,Charging,battery-event
1408977748,18,6841150,1325000,3662,11132380,Charging,battery-event
1408977848,19,6827120,1290885,3689,11168630,Charging,battery-event
1408977938,20,6864940,1291015,3704,11201547,Charging,battery-event
1408978028,21,6875920,1297395,3711,11234047,Charging,battery-event
1408978128,22,6887510,1288411,3721,11269880,Charging,battery-event
1408978218,23,6903370,1371223,3759,11303214,Charging,battery-event
1408978308,24,6923500,1383854,3783,11337380,Charging,battery-event
1408978399,25,6933260,1378125,3811,11371964,Charging,battery-event
1408978479,26,6906420,1375000,3830,11402380,Charging,battery-event
1408978569,27,6938140,1372656,3846,11436547,Charging,battery-event
1408978659,28,6943630,1371223,3862,11471130,Charging,battery-event
1408978749,29,6946680,1366796,3880,11505297,Charging,battery-event
1408978839,30,6914960,1223828,3892,11539047,Charging,battery-event
1408978929,31,6951560,1364062,3903,11572797,Charging,battery-event
1408979019,32,6953390,1362369,3917,11606964,Charging,battery-event
1408979110,33,6955830,1358072,3932,11641130,Charging,battery-event
1408979200,34,6961320,1358593,3949,11674880,Charging,battery-event
1408979290,35,6964370,1357812,3959,11709047,Charging,battery-event
1408979380,36,6964980,1351302,3969,11742797,Charging,battery-event
1408979470,37,6972910,1356901,3975,11776964,Charging,battery-event
1408979560,38,6971080,1348177,3989,11810714,Charging,battery-event
1408979600,38,6539200,-703645,3985,11823214,Discharging,ac-offline-event
1408979600,38,6539200,-742447,3987,11823214,Discharging,battery-event
1408979841,37,6451360,-710546,3743,11775297,Discharging,battery-event
1408979991,36,6442820,-710546,3709,11745297,Discharging,battery-event
1408980151,35,6421470,-728776,3667,11713214,Discharging,battery-event
1408980301,34,6434280,-720182,3642,11683214,Discharging,battery-event
1408980461,33,6430620,-708463,3621,11651547,Discharging,battery-event
1408980612,32,6419640,-708463,3605,11621547,Discharging,battery-event
1408980772,31,6414150,-708593,3580,11589880,Discharging,battery-event
1408980922,30,6402560,-713411,3554,11560297,Discharging,battery-event
1408981082,29,6394630,-708333,3525,11528214,Discharging,battery-event
1408981232,28,6351320,-882682,3508,11498630,Discharging,battery-event
1408981393,27,6377550,-747265,3483,11466547,Discharging,battery-event
1408981543,26,6363520,-706119,3473,11436547,Discharging,battery-event
1408981703,25,6331800,-727864,3462,11404880,Discharging,battery-event
1408981853,24,6337290,-728776,3442,11375297,Discharging,battery-event
1408982014,23,6325090,-709375,3437,11343214,Discharging,battery-event
1408982164,22,6271410,-888281,3431,11313630,Discharging,battery-event
1408982324,21,6297030,-712239,3426,11281547,Discharging,battery-event
1408982474,20,6283000,-714192,3427,11251547,Discharging,battery-event
1408982634,19,6273240,-713151,3413,11219464,Discharging,battery-event
1408982785,18,6259820,-724348,3395,11189464,Discharging,battery-event
1408982935,17,6211630,-895572,3395,11159464,Discharging,battery-event
1408983095,16,6229930,-709375,3392,11127380,Discharging,battery-event
1408983245,15,6192720,-710416,3389,11097380,Discharging,battery-event
1408983395,14,6179910,-725390,3393,11066964,Discharging,battery-event
1408983556,13,6085360,-731770,3404,11034047,Discharging,battery-event
1408983696,12,5829770,-782291,3412,11004880,Discharging,battery-event
1408983808,12,5511960,-1098046,3428,10980714,Discharging,shutdown
